title,url,description,date,time_crawl,text
Biden calls for ban on gun used to shoot Trump,https://www.bbc.com/news/articles/cd1x4xjvrgdo#0,"The US president resumes his campaign with criticism of Donald Trump and says the weapon used against him should be ""outlawed"".","Wed, 17 Jul 2024 13:46:13 GMT",2024-07-17 16:47:07.585165,"[""Joe Biden has renewed a call for Congress to ban assault rifles, including the model that was used in the failed assassination attempt on Donald Trump. Trump's ear was grazed by a bullet after a gunman shot at him from a nearby rooftop during a campaign rally in Pennsylvania on Saturday.“An AR-15 was used in the shooting of Donald Trump. This was the assault weapon that killed so many others, including children. It’s time to outlaw them,” Mr Biden told the audience at a convention in Las Vegas.His demand came as he returned to the campaign trail for the first time since the attack. "", ""Biden urges America to 'lower temperature' after Trump shootingIn maps: Donald Trump assassination attempt"", 'For several days following the shooting, the Biden campaign had been on pause. Verbal attacks had been halted, television ads pulled and a message of unity was pushed by many prominent Democrats.Speaking on Tuesday, Mr Biden continued in that vein, lamenting how “heated” politics has become. But later in his speech - an address to the National Association for the Advancement of Coloured People (NAACP), a prominent civil rights group - he went on to roundly criticise Trump.“Just because our politics are very divided doesn’t mean we should stop telling the truth. Who you are, what you’ve done, what you will do - that’s fair game,” he said.""Let me say it again because Trump is lying like hell about it,” he told the conference hall of primarily black voters. “Black unemployment hit a record low under the Biden-Harris administration,"" the president added. Statistics show that his government reached the record low unemployment rate for Black or African Americans in 2023, at 4.8%.Gun rights are an issue Mr Biden has frequently campaigned on.In 1994, he was instrumental in passing an assault weapons ban, which expired in 2004. He referenced that legislation during his speech, saying ""I\'ve done it before, I\'ll do it again"". In 2022, during his first term as president, Mr Biden signed into law the most significant gun safety legislation in more than two decades, which included enhanced background checks for gun buyers and other protections.But he has repeatedly come up against strong opposition from Republicans to an assault weapons ban.The president\'s return to the campaign trail came as the Republican National Convention (RNC) closed out its second day on Tuesday, with a line-up of speakers - including former presidential nominee rivals Nikki Haley and Ron DeSantis - roundly uniting behind Trump.At a side event hosted by the gun rights group, US Concealed Carry Association, a senior adviser to the Trump campaign said Donald Trump would safeguard gun rights by appointing pro-gun judges if he is elected in November.""We\'ll see a continuation of supporting and defending the Second Amendment, and really where that comes into play is the judiciary,"" Chris LaCivita told attendees, according to Reuters news agency.Donald Trump has already said that he would unravel all of Mr Biden’s new gun rules if elected in November, a stance that shows no sign of changing even following Saturday’s attempt on his life.Authorities are yet to land on the motive of gunman Thomas Matthew Crooks, who was able to shoot at Trump after climbing onto the roof of a building 130m (426ft) from where he was speaking.An independent review of the Secret Service’s handling of the shooting is underway and Republican leaders in Congress have also announced an investigation.']"
Cyanide found in blood of Bangkok hotel victims,https://www.bbc.com/news/articles/c3g64ljwp2go#0,Police suspect that one of the dead was behind the poisoning and was driven by crushing debt.,"Wed, 17 Jul 2024 14:21:38 GMT",2024-07-17 16:47:07.585437,"['Cyanide has been found in the blood of all six people who died in a luxury hotel suite in Bangkok, say doctors after examining their bodies.Based on the initial post-mortem examination, they say there is ""no other cause"" that would explain their deaths ""except for cyanide"". But further tests are being carried out to determine the ""intensity"" of the deadly chemical and to rule out any other toxins.Forensic investigators had earlier found traces of cyanide on the teacups used by the victims, all of whom are of Vietnamese origin including two with dual US citizenship. Police suspect that one of the dead was behind the poisoning and was driven by crushing debt - but have not said who.The victims\' lips and nails had turned dark purple indicating a lack of oxygen, while their internal organs turned ""blood red"", which is another sign of cyanide poisoning, said Professor Kornkiat Vongpaisarnsin of the Department of Forensic Medicine at Chulalongkorn University.Doctor Chanchai Sittipunt, the dean of the Faculty of Medicine, said they still needed to find out how much cyanide was in the blood of the deceased.""But from what we have detected - from observation, from internal organ check, from finding cyanide in the blood during the screening test - there is no other cause that would be the factor that would cause their deaths, except for cyanide,” he told reporters.The deceased were found by housekeepers at the Grand Hyatt Erawan hotel in the Thai capital late on Tuesday.Investigators believe they had been dead for between 12 and 24 hours by then. The mystery around the shocking discovery made international headlines. Thailand\'s Prime Minister Srettha Thavisin ordered an urgent investigation into the case, stressing that the deaths were the result of a ""private matter"", and there was no suggestion of public danger. Police have since begun to piece together what might have happened. Two of the six victims had loaned ""tens of millions of Thai baht"" to another of the deceased for investment purposes, authorities said. Ten million baht is worth nearly $280,000 (£215,000).', 'Earlier on Wednesday, Deputy Bangkok police chief Gen Noppassin Poonsawat told a press conference the group checked into the hotel separately over the weekend and were assigned five rooms - four on the seventh floor, and one on the fifth. They had been scheduled to check out on Monday but failed to do so.Four of the victims are Vietnamese nationals Thi Nguyen Phuong, 46, her husband Hong Pham Thanh, 49, Thi Nguyen Phuong Lan, 47,  and Dinh Tran Phu, 37.The other two are American citizens Sherine Chong, 56, and Dang Hung Van, 55.The US state department has offered its condolences and said it is ""closely monitoring"" the situation. The US Federal Bureau of Investigation is assisting Thai authorities in the investigation, Mr Srettha said.', 'The motive is not clear, but police said two of the six had loaned a substantial amount of money to another person in the group, who had not been paid back.Police say on Monday afternoon all six victims gathered in the room on the fifth floor. The group ordered food and tea, which was delivered to the room around 14:00 local time (08:00 BST) and received by Ms Chong - who was the only person in the room at the time. According to the deputy police chief, a waiter offered to make tea for the guests but Ms Chong refused this. The waiter recalled that she “spoke very little and was visibly under stress”, authorities said.The waiter later left the room. The rest of the group then began streaming into the room at various points, between 14:03 and 14:17. No one else is believed to have entered the room apart from the six inside and police have said the door to the room was locked from within. ', 'Police say there were no signs of a struggle, robbery or forced entry. They later found traces of cyanide in all six tea cups.Pictures released by the police show plates of untouched food left on a table in the room, some of them still covered in cling wrap. There was a seventh name on the group\'s hotel booking, whom police identified as the younger sister of one of the victims. She had left Thailand last week for the Vietnamese coastal city of Da Nang and is not involved in the incident, police said. Relatives interviewed by the police said Thi Nguyen Phuong and Hong Pham Thanh, a couple, owned a road construction business and had given money to Ms Chong to invest in a hospital building project in Japan.Police suspect that Mr Tran, a make-up artist based in Da Nang, had also been “duped"" into making an investment. Mr Tran\'s mother Tuý told BBC Vietnamese that he had travelled to Thailand on Friday and had called home on Sunday to say he had to extend his stay until Monday. That was the last his family had heard from him. She rang him again on Monday but he did not answer the call. Ms Chong had hired Mr Tran as her personal make-up artist for the trip, one of his students told BBC Vietnamese. Mr Tran\'s father, Phu, told Vietnamese media that his son was hired last week by a Vietnamese woman to travel to Thailand.  The six bodies were discovered one day after Thailand expanded its visa-free entry scheme to travellers from 93 countries and territories to revitalise its tourism industry. ', ""Cyanide is a rapidly-acting, highly toxic chemical that is potentially deadly. Low levels of cyanide occur in nature and in products we eat and use. But in larger doses it is a notorious poison, and has been used as a chemical warfare agent because of its fast-acting and highly lethal properties.It can occur as a colourless gas or liquid or in crystal form. People can be exposed to cyanide by breathing it in, absorbing it through the skin, or eating food or liquids that contain it.When consumed in large amounts, cyanide can lead to lung injury, coma and death within seconds, according to the Centers for Disease Control and Prevention (CDC).Even in smaller doses, cyanide is still very harmful, causing chest pain, nausea, shortness of breath and vomiting.Cyanide can produce a “bitter almond” smell but not everyone can detect this and it doesn’t always give off an odour.Additional reporting by BBC Thai and BBC Vietnamese's Thuong Le""]"
"Hamas committed war crimes on 7 October, says Human Rights Watch",https://www.bbc.com/news/articles/c1vdz75g6dvo#0,"Hamas rejects what it calls the ""lies"" in HRW's report about the deadly attack on Israel that it led.","Wed, 17 Jul 2024 11:44:45 GMT",2024-07-17 16:47:07.585644,"[""Hamas and at least four other Palestinian armed groups committed numerous war crimes and crimes against humanity against civilians during the 7 October attack on southern Israel, the campaign group Human Rights Watch says.A new report accuses the hundreds of gunmen who breached the Gaza border fence of violations including deliberate and indiscriminate attacks on civilians, wilful killing of persons in custody, sexual and gender-based violence, hostage-taking, mutilation of bodies and looting.It also found the killing of civilians and hostage-taking were “central aims of the planned attack” and not an “afterthought”.Hamas angrily rejected what it called HRW’s “lies” and demanded an apology.About 1,200 Israelis and foreigners - mostly civilians - were killed and 251 others were taken as hostages when 26 Israeli communities and towns, as well as number of military bases, two music festivals and a beach party were attacked nine months ago.Israel responded by launching a military campaign in Gaza with the aims of destroying Hamas and freeing the hostages.More than 38,790 people have been killed in Gaza since then, according to the territory’s Hamas-run health ministry, whose figures do not differentiate between civilians and combatants.HRW's report does not cover alleged violations of the laws of war by Israeli forces and Palestinian groups in the conflict that was triggered by the 7 October attack."", 'The report released by HRW on Wednesday is based on interviews with 144 people, including witnesses to the 7 October attack, as well as analysis of more than 280 photographs and videos posted on social media or shared with the group’s researchers.“Across many attack sites, [Palestinian] fighters fired directly at civilians, often at close range, as they tried to flee, and at people who happened to be driving vehicles in the area,” it says.“They hurled grenades and shot into safe rooms and other shelters and fired rocket-propelled grenades (RPGs) at homes. They set some houses on fire, burning and suffocating people to death, and forcing out others who they then captured or killed,” it adds.“They took hundreds hostage for transfer to Gaza or summarily killed them.”Hamas’s armed wing, the Izzedine al-Qassam Brigades, led the assault, but HRW says it has strong evidence of the participation of at least four other Palestinian armed groups, based on headbands the gunmen wore and their claims posted on social media:al-Quds Brigades, the armed wing of Palestinian Islamic Jihad (PIJ)Omar al-Qasim Forces, the armed wing of the Democratic Front for the Liberation of Palestine (DFLP)Abu Ali Mustafa Brigades, the armed wing of the Popular Front for the Liberation of Palestine (PFLP)al-Aqsa Martyrs’ Brigades, which is linked to the Fatah movementThe BBC has previously reported that they took part in military-style exercises with Hamas from 2020 onwards which closely resembled the tactics used on 7 October. ', 'HRW’s report concludes that the Palestinian groups committed a widespread and systematic attack directed against a civilian population, which amounts to a crime against humanity, based on the numerous civilian sites that were targeted and “the planning that went into the crimes”.It also found that the killing of civilians and the taking of hostages were “all central aims of the planned attack, and not actions that occurred as an afterthought, or as a plan gone awry, or as isolated acts, for example solely by the actions of unaffiliated Palestinians from Gaza, and as such, there is strong evidence of an organisational policy to commit multiple acts of crimes against humanity”.The report says further investigation is needed into other potential crimes against humanity, including persecution against any identifiable group on racial, national, ethnic or religious grounds; rape or sexual violence of comparable gravity; and extermination, if there was a mass killing calculated to bring about the “destruction” of part of a population.The report includes a letter from Hamas responding to the allegations, in which the group said it was “committed to respecting international law” and that the al-Qassam Brigades “was clear in directing its members and fighters not to target civilians”.Hamas also said the participation of unaffiliated Palestinians from Gaza and other armed groups not involved in the initial, planned assault led to “chaos in the field”, a change in “the plan to conduct an operation against military targets” and “the occurrence of many mistakes”.The report says HRW found Hamas’s claim that its forces did not seek to harm Israeli civilians was “false”, noting that photos and videos showed gunmen seeking out civilians and killing them at various sites from the first moments of the attack.In a statement issued following the report’s publication, Hamas said: “We reject the lies and blatant bias towards the occupation [Israel] and the lack of professionalism and credibility in the Human Rights Watch report. We demand its withdrawal and an apology.”In a separate report in April, HRW said an Israeli air strike on a residential building in central Gaza on 31 October that killed 106 people constituted a war crime. Israel says it tries to avoid harming civilians and accuses Hamas of operating in civilian structures.The group has also accused the Israeli government of using starvation of civilians as a method of warfare, which is a war crime. Israel says it facilitates deliveries of humanitarian aid and is not to blame for Gaza’s food shortages.In May, the prosecutor of the International Criminal Court (ICC) applied for arrest warrants for Hamas’s Gaza leader Yahya Sinwar, military chief Mohammed Deif and political leader Ismail Haniyeh for crimes against humanity and war crimes from 7 October onwards. He also sought warrants for Israeli Prime Minister Benjamin Netanyahu and Defence Minister Yoav Gallant. Both Hamas and Israel reacted with outrage to the announcement.']"
Lewd tourist antics on Florence statue lead to outrage,https://www.bbc.com/news/articles/cw5yky19623o#0,"The photos spark angry reactions from social media users, some of whom call for the woman's arrest.","Wed, 17 Jul 2024 10:22:21 GMT",2024-07-17 16:47:07.585837,"['There has been outrage in Italy after a female tourist in Florence was pictured miming a lewd act on a statue of Bacchus, the Roman god of wine and excess.In the photos - which were shared online by the social media account Welcome To Florence - the woman can also be seen kissing the life-size statue at night-time.The Bacchus stands on a plinth on a street corner near the famous Ponte Vecchio bridge and is a modern replica of the 16th Century work by sculptor Giambologna. The original is kept in the nearby Bargello museum.The photos sparked angry reactions from social media users, some of whom called for the woman\'s arrest.""This is the result of years of attempts at turning Florence into Disneyland,"" said another.Patrizia Asproni, the president of Confcultura, an association that promotes Italy\'s cultural heritage, told Italian media that these ""repeated shows of rudeness and barbarity"" take place ""because everyone feels entitled to do whatever they want with impunity"".Ms Asproni called for the application of the ""Singapore model"" with ""tight checks, sky-high fines and zero tolerance"" for bad behaviour.Antonella Rinaldi, Florence\'s archaeology and fine arts superintendent, said: ""Tourists are welcome here but they need to respect our artworks, be they originals or replicas.""""Although I doubt this lady - whom I condemn - even knows the difference,"" she added.Florence is one of the world\'s foremost tourist destinations. In 2023, around 1.5 million people visited the city - which has a population of just 382,000 - between June and September.Local residents have long struggled with the huge influx of tourists, which in the summer months turns Florence\'s narrow streets into steady streams of people. The so-called ""overtourism"" phenomenon has prompted several cities around the world to make changes to the way they welcome tourists. Last month, the mayor of Barcelona pledged to eliminate short-term tourist lets in the city within five years, while several hotspots - like Venice or Japan\'s Mount Fuji - have started to introduce daily charges to try to limit numbers.']"
Trump's defeated Republican rivals show united front at convention,https://www.bbc.com/news/articles/cnd0gn6nel6o#0,"Several of the former president's past challengers, including Nikki Haley, voiced full support for his candidacy.","Wed, 17 Jul 2024 03:56:22 GMT",2024-07-17 16:47:07.586038,"['One by one, Donald Trump’s defeated rivals for the 2024 Republican nomination took the stage to sing his praises at the party\'s convention on Tuesday night.From his box just above the convention floor, Trump smiled at times as he watched his former opponents Nikki Haley, Ron DeSantis, and Vivek Ramaswamy voice their full support for his candidacy.If there were any doubts that this was Trump’s party, Tuesday’s programming put them to rest.“I’ll start by making one thing perfectly clear: Donald Trump has my strong endorsement, period,” said Ms Haley, the former UN Ambassador who posed the strongest challenge to Trump earlier this year.She said Trump had asked her to speak at the event in Milwaukee in the name of “unity"".“For the sake of our nation we have to go with Donald Trump,” she told the crowd.Ms Haley said in May that she would vote for the former president, but her headline speech on Tuesday was her most direct endorsement of the Republican nominee yet.And when she declared her endorsement, Trump stood and clapped.Ms Haley’s arrival, however, was not universally welcomed in the arena. There was a noticeable intake of breath as she acknowledged that she and Trump had their differences.Some Republicans have struggled to forgive her for launching an aggressive campaign against their favoured candidate. Late in the race, she questioned whether Trump had the mental stamina to serve as president.A smattering of boos greeted her as she took the podium, though they were soon drowned out by cheers and chants.She deserves the booing, said Gregory Switzer, a conservative activist from Texas.“She stayed in that race a lot longer than she needed to and dragged out the inevitable,"" said Matt Bumela, a delegate from Washington state who had predicted the booing. “And said things about Trump that were negative all the way up to the end.”', 'Ms Haley notably broke from Trump when she called for the US to continue to support Ukraine in its war with Russia.When she later said she would vote for him in November, she said the former president would be “smart to reach out to the millions of people who voted for me"".On Tuesday night, she told supporters of hers who might be on the fence: “You don’t have to agree with Trump 100% of the time to vote for him – take it from me.”“Tonight is our unity night,” said New Hampshire state Senator William Gannon, who had served as a delegate for Ms Haley. He believed Trump made the right choice to invite her to speak.“I wanna win the national election,” he said. “It was a wise move to bring her in.”The third-place finisher in the primary, Florida Governor Ron DeSantis, received a far more enthusiastic welcome from the crowd.He touched on several conservative social issues, including diversity initiatives, which he said were “indoctrination”.He urged the crowd to rally behind Trump – though they were already solidly behind their current nominee. “We cannot let him down, and we cannot let America down,” Mr DeSantis said.He also took a swipe at Mr Biden’s age, an issue that is currently roiling the Democratic Party. “We need a commander-in-chief who can lead 24 hours a day and seven days a week,” he said.Daniel Willis, the 25-year-old chair of the Delaware Young Republicans, said Mr DeSantis and Ms Haley did more than enough “to bridge the gap” with Trump supporters.LISTEN: Americast discusses the Republican rivals reunitedLara Trump, Donald Trump’s daughter-in-law and co-chair of the Republican National Committee, hit a conciliatory tone, telling the crowd: “You don’t have to admit that you like everything that he tweets, but Americans were better off when he was in office.”She added: “Last Saturday reminded us that we Americans must remember that there is more that unites us than divides us.""The rest of the night was devoted to the more common Republican campaign points, such as migrant crossings at the border, crime and an overarching commitment to defeating Mr Biden.Ted Cruz, the US senator from Texas, said there was a “literal invasion” of the United States. Dr Ben Carson, who served in Trump\'s cabinet, accused Democrats of “shredding the Constitution"".Trump himself led a huge standing ovation for Madeline Brame, a woman whose son was killed in New York in 2018 and has since called for tough-on-crime policies.Down on the floor, delegates said they were ready to move beyond the intra-party divisions of the primary and instead focus the party’s energy on President Biden.“At the end of the day,” said Georgia delegate Pam Lightsey, “We’re all Republicans.”']"
Ex-CIA analyst charged with spying for South Korea,https://www.bbc.com/news/articles/cqv5qd82pjlo#0,"Sue Mi Terry is accused of helping South Korea in exchange for cash, luxury bags, fancy meals and expensive clothes. ","Wed, 17 Jul 2024 14:51:37 GMT",2024-07-17 16:47:07.586295,"['A New York grand jury has indicted a former US Central Intelligence Agency analyst on charges of acting as a spy for the South Korean government in exchange for luxury goods, bags and fancy meals. Sue Mi Terry, who previously worked as a senior official for the White House National Security Council, faces two counts of failing to register as a foreign agent and conspiracy to violate the Foreign Agents Registration Act. Federal officials say Ms Terry - a prominent US expert on North Korea - acted as an agent for the South Korean government for over a decade, but she did not register as a foreign agent with American officials, according to court documents made public on Tuesday in the Southern District of New York.The Council on Foreign Relations, a think tank where Ms Terry works as a senior fellow on Asia, has placed her on unpaid leave, a spokesperson told US outlets. The organisation has also removed her biography from its website. Ms Terry, 54, denies the charges and her attorney, Lee Wolosky, told the BBC the allegations against her were ""unfounded"".The charges ""distort the work of a scholar and news analyst known for her independence and years of service to the United States"", Mr Wolosky said. ""In fact, she was a harsh critic of the South Korean government during times this indictment alleges that she was acting on its behalf.""Born in South Korea, Ms Terry moved to the US at age 12, according to her previous employer at Columbia University. In 2001, she earned her doctorate from the Fletcher School of Law and Diplomacy at Tufts University, a prominent international relations school in Massachusetts. She is known to lecture in English and Korean.Ms Terry, 54, then went on to work as a senior analyst for the CIA from 2001 to 2008, before holding a variety of posts in the federal government, including as Director for Korea, Japan, and Oceanic Affairs at the National Security Council during the George W Bush and Barack Obama administrations. Prosecutors say Ms Terry\'s work as an agent for the South Korean government began in 2013, about five years, after she stopped working for the CIA and the National Security Council. In the 31-page indictment, officials say Ms Terry admitted to FBI agents in a voluntary interview in 2023 that she was a “source” for South Korea’s National Intelligence Service. The indictment alleges that the South Korean government gifted Ms Terry a $2,845 (£2,100) Dolce & Gabbana coat, a $3,450 Louis Vuitton handbag and meals at upscale restaurants.Officials say the government also gave her $37,000 and came up with a plan to hide the source of the funds, ultimately placing them in a gift fund at the think tank where she worked. Ms Terry\'s indictment comes just a day after Democratic Senator Robert Menendez was convicted of helping foreign governments in exchange for luxury items including gold bars and a Mercedes car. ']"
Venezuelan opposition leader's security chief detained,https://www.bbc.com/news/articles/cv2grdk2vkvo#0,Milciades Ávila is the latest member of the opposition campaign team to be detained.,"Wed, 17 Jul 2024 15:18:43 GMT",2024-07-17 16:47:07.586513,"['The head of security of Venezuelan opposition leader María Corina Machado has been detained, members of their party say.The security chief, Milciades Ávila, was taken away from the house where he was staying in the capital, Caracas, by members of the Venezuelan security forces, the Vente Venezuela opposition party said.He is the latest opposition activist to be detained in the run-up to the presidential election on 28 July, in which the opposition hopes to unseat the incumbent, Nicolás Maduro.Neither the government nor the security forces have so far commented on why Mr Ávila was taken or where he is being held.', 'Ms Machado wrote on X that Mr Ávila had been accused of gender violence.She said that his arrest was connected to an incident on Saturday in which a number of women ""had tried to attack me and Edmundo [González]"" - the opposition presidential candidate whom she backs.Ms Machado alleges that the incident was witnessed by ""dozens of people"" and that footage showed it had been ""a deliberate provocation"".She added that she believed it had been designed to leave her ""without protection"" just 11 days before the presidential election.The opposition has complained about harassment by the authorities for months.Ms Machado, who won an opposition primary by a landslide in October, is barred from running from office over alleged fraud, which she has denied. Since losing her appeal against the ban, she has thrown her weight behind Edmundo González and campaigned on his behalf, criss-crossing the country and encouraging voters to unite behind him in order to defeat Mr Maduro at the polls. Dozens of members of her campaign team have been arrested, with some accused of involvement in anti-government conspiracies. ', 'Restaurant and food stall owners have also complained about their businesses being closed down by officials after they served the opposition leaders.The government alleges that the businesses were shuttered because their paperwork was not in order.The non-governmental organisation Foro Penal, which keeps a tally of what it says are political prisoners, said more than 100 people linked to the opposition had been detained in the run-up to the presidential election.Foro Penal said that the high number of arrests was a clear indication of  ""a systematic scheme"" to restrict the rights of Venezuelan citizens.Opinion polls give Edmundo González a huge lead over President Maduro, but many in the opposition fear the election result may be tampered with.The 2018 election in which Mr Maduro was re-elected to a second term was widely dismissed as being neither free nor fair. The opposition coalition led by Ms Machado is urging its supporters to turn out to vote despite these concerns, arguing that overwhelming support for their unity candidate will make it harder for any fraud to take place.']"
Trump's choice of running mate raises fears in Ukraine and EU,https://www.bbc.com/news/articles/c727zvgvv8ko#1,Diplomats and politicians voice concern over JD Vance's repeated criticism of US aid to Ukraine.,"Tue, 16 Jul 2024 19:44:20 GMT",2024-07-17 16:47:07.586730,"['European politicians and diplomats had already prepared for changes to their relationship with the US in the event of a second Donald Trump presidency.Now that the Republican candidate has chosen Ohio Senator JD Vance as his running mate, those differences appear even more stark on prospects for the war in Ukraine, security and trade.A vocal critic of US aid to Ukraine, Mr Vance told this year’s Munich Security Conference that Europe should wake up to the US having to “pivot” its focus to East Asia. ""The American security blanket has allowed European security to atrophy,"" he said.Nils Schmid, a senior MP in German Chancellor Olaf Scholz’s party, told the BBC that he was confident a Republican presidency would continue to stay within Nato, even if JD Vance came across as ""more isolationist"" and Donald Trump remained ""unpredictable"".However, he warned of a new round of ""trade wars"" with the US under a second Trump presidency.An EU diplomat said that after four years of Donald Trump no-one was naïve: ""We understand what it means if Trump comes back as a second-term president, regardless of his running mate.""Portraying the EU as a sailing boat preparing for a storm the diplomat, who preferred not to be named, added that whatever they might be able to tie down, it was always going to be rough.The US is Ukraine\'s biggest ally, and President Volodymyr Zelensky said this week: ""I\'m not afraid about him becoming president, we will work together.""', 'He also said that he believed most of the Republican party supported Ukraine and its people.Mr Zelensky and Mr Trump also have a common friend in Boris Johnson, the former UK prime minister, who has consistently championed continued aid for Ukraine and recently met the former president at the Republican National Convention.Following the meeting, Mr Johnson posted on X that he had “no doubt that [Mr Trump] will be strong and decisive in supporting that country and defending democracy”.But even if that sentiment is true, it might not apply to Mr Vance, who, days before the full-scale invasion, told a podcast he “doesn’t really care what happens in Ukraine, one way or the other”. He also played a key role in delaying a $60bn military aid package from Washington.""We need to try and convince him otherwise,"" says Yevhen Mahda, the Executive Director of the Institute of World Policy think tank in Kyiv.""A fact we can use is that he fought in Iraq, therefore he should be invited to Ukraine so he can see with his own eyes what is happening and how American money is spent.""The question for Kyiv will be to what extent he can influence the decisions of his new boss.Yevhen Mahda agrees that Trump’s unpredictability could be a problem for Kyiv in the run-up to the US presidential election.The biggest supporter of the Trump-Vance ticket in the European Union is Hungary’s Viktor Orban who returned recently from a visit to see the Republican candidate, after visiting Mr Zelensky and President Putin, with whom he maintains close ties.In a letter to EU leaders, Mr Orban said a victorious Donald Trump would not even wait to be inaugurated as president before quickly demanding peace talks between Russia and Ukraine.', '""He has detailed and well-founded plans for this,"" the letter states.Mr Zelensky has himself said this week that Russia should attend a peace summit possibly next November, and he has promised a “fully ready plan”. But he made clear he had not come under Western pressure to do so.Viktor Orban\'s recent ""peace missions"" to Moscow and Beijing have sparked accusations that he’s abusing his country’s six-month rotating presidency of the European Council. European Commission officials have been told not to attend meetings in Hungary because of Mr Orban’s actions.During the Trump presidency, the US imposed tariffs on EU-produced steel and aluminium. Although they were paused under Joe Biden’s administration, Trump has since floated a 10% tariff on all overseas imports should he get back into the White House.The prospect of renewed economic confrontation with the US will be seen as a bad, even a disastrous, outcome in most European capitals.""The only thing we know for sure is there will be punitive tariffs levelled on the European Union so we have to prepare for another round of trade wars,"" said Nils Schmid, the Social Democrats’ foreign policy lead in the Bundestag.JD Vance singled out Berlin for criticism of its military preparedness earlier this year.While he didn’t mean to ""beat up"" on Germany, he said the industrial base underpinning its arms production was  insufficient.', 'This will all pile further pressure on Germany, Europe’s largest economy, to ""step up"" as a principal player in underwriting European security.After his much-lauded ""zeitenwende"" (turning point) speech in response to Russia’s full-scale invasion of Ukraine in 2022, Olaf Scholz was often accused of hesitancy on supplying weapons to Kyiv.But his allies are always keen to point out that Germany is second only to the US in terms of military aid to Kyiv while it has – for the first time since the end of the Cold War – met the 2% GDP defence spending target, albeit via short-term budgeting.""I think we are on the right track,"" said Mr Schmid. ""We have to build back an army that was neglected for 15 to 20 years.""But observers are far from convinced that behind-the-scenes European preparations are either serious or sufficient.There are few leaders with the political clout or inclination to champion the future security architecture of an unwieldy European continent.Chancellor Scholz has an understated style and clear resistance to taking a lead on bolder foreign policy positions – and faces a very real prospect of being voted out of office next year.French President Emmanuel Macron has been left a severely weakened figure after calling parliamentary elections that have left his country in a state of political paralysis.Polish President Andrzej Duda warned on Tuesday that if Ukraine loses its struggle against Russia “then Russia’s potential war with the West will be extremely imminent”.""This voracious Russian monster will want to attack on and on.""']"
Watch: Yemeni Houthi rebels attack oil tanker,https://www.bbc.com/news/videos/cm528nmymn8o#1,The Houthi rebels has released a video of an attack it claims to have carried out on an oil tanker in the Red Sea.,"Wed, 17 Jul 2024 12:57:38 GMT",2024-07-17 16:47:07.586937,
Country star sorry for singing US anthem drunk,https://www.bbc.com/news/articles/crgl2gw5868o#1,Ingrid Andress was widely derided for her erratic rendition before baseball's Home Run Derby.,"Wed, 17 Jul 2024 10:29:50 GMT",2024-07-17 16:47:07.587149,"['Country singer Ingrid Andress has apologised and admitted being drunk while performing a much-derided rendition of the US national anthem, at a baseball stadium.Andress\'s erratic performance of The Star-Spangled Banner was widely shared after Major League Baseball\'s Home Run Derby, in Texas, on Monday.""I was drunk last night,"" wrote Andress, who has previously received four Grammy Award nominations.""I\'m checking myself into a facility today to get the help I need. That was not me last night. I apologize to MLB, all the fans, and this country I love so much for that rendition.""', 'She added: ""I\'ll let y\'all know how rehab is - I hear it\'s super fun.""Andress\'s a-capella version of the anthem was called ""painful"" and ""one of the worst national-anthem renditions ever"", on social media.The Daily Beast headline said: ""America unites over new all-time worst national-anthem performance.""', 'Some people posted clips of Philadelphia Phillies third baseman Alec Bohm apparently smirking as Andress was singing.But she also received sympathy and support following her apology.""I’m so sorry you’re going through this,"" singer and actress Lucy Hale wrote. Sending you a lot of my thoughts. Take care of you and you’re going to come out of this so much stronger.""Country star Martina McBride said: ""Sending lots of love and positivity. You got this.""Singer-songwriter Julia Michaels said: ""Love you, girl. I’m sorry you’re going through this. And I’m sorry the world can be so cruel. Here for you XX.""', 'Fellow singer-songwriter Carly Pearce said: ""Being this open takes a lot. You’ve got this. Hang in there.""And one fan posted a video of Andress on stage at a concert, to show her ""true talent"".Andress appeared as an a-cappella singer on NBC series The Sing-Off, in 2010 - and after forging a solo career, was nominated for the 2021 Grammy Award for Best New Artist.She also co-wrote Charli XCX’s hit song Boys and Bebe Rexha’s Girl in the Mirror.']"
